Strategy,Val Accuracy (Mean),Val Accuracy (Std),Val Loss (Mean),Val Loss (Std),Accuracy (Mean),Accuracy (Std),Loss (Mean),Loss (Std),Total Training Time (Mean),Total Training Time (Std),CPU Percent (Mean),CPU Percent (Std),CPU Percent Peak (Mean),CPU Percent Peak (Std),CPU Power (Mean),CPU Power (Std),CPU Power Peak (Mean),CPU Power Peak (Std),GPU Load (Mean),GPU Load (Std),GPU Load Peak (Mean),GPU Load Peak (Std),GPU Power (Mean),GPU Power (Std),GPU Power Peak (Mean),GPU Power Peak (Std),GPU Temp (Mean),GPU Temp (Std),GPU Temp Peak (Mean),GPU Temp Peak (Std),Env Temp (Mean),Env Temp (Std),Cost Efficiency Local (Mean),Cost Efficiency Local (Std),Cost Per Accuracy Point Local (Mean),Cost Per Accuracy Point Local (Std),Cost Efficiency USD (Mean),Cost Efficiency USD (Std),Cost Per Accuracy Point USD (Mean),Cost Per Accuracy Point USD (Std),Power Efficiency (Mean),Power Efficiency (Std),Time Efficiency (Mean),Time Efficiency (Std)
EarlyStopping & ReduceLROnPlateau,0.889,0.0,0.34,0.0,0.916,0.0,0.243,0.0,22.389,0.0,36.052,0.0,100.0,0.0,16.223,0.0,23.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.247,0.0,63.237,0.0,0.027,0.0,3513.15,0.0,0.0,0.0,4.956,0.0,12.146,0.0
EarlyStopping,0.842,0.0,0.481,0.0,0.858,0.0,0.406,0.0,13.676,0.0,38.917,0.0,100.0,0.0,17.512,0.0,24.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.46,0.0,80.321,0.0,0.02,0.0,4462.291,0.0,0.0,0.0,4.124,0.0,16.382,0.0
ReduceLROnPlateau,0.89,0.0,0.337,0.0,0.915,0.0,0.249,0.0,33.452,0.0,44.834,0.0,100.0,0.0,20.175,0.0,29.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.867,0.0,38.983,0.0,0.049,0.0,2165.742,0.0,0.001,0.0,4.078,0.0,9.116,0.0
None,0.884,0.0,0.388,0.0,0.931,0.0,0.203,0.0,26.489,0.0,32.426,0.0,100.0,0.0,14.592,0.0,23.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.939,0.0,74.285,0.0,0.029,0.0,4126.968,0.0,0.001,0.0,5.694,0.0,11.779,0.0
