Strategy,CPU Percent (Mean),CPU Percent (Std),CPU Percent Peak (Mean),CPU Percent Peak (Std),CPU Power (Mean),CPU Power (Std),CPU Power Peak (Mean),CPU Power Peak (Std),GPU Load (Mean),GPU Load (Std),GPU Load Peak (Mean),GPU Load Peak (Std),GPU Power (Mean),GPU Power (Std),GPU Power Peak (Mean),GPU Power Peak (Std),GPU Temp (Mean),GPU Temp (Std),GPU Temp Peak (Mean),GPU Temp Peak (Std),Env Temp (Mean),Env Temp (Std)
EarlyStopping & ReduceLROnPlateau,15.432,2.628,94.66,10.63,6.944,1.183,10.414,3.231,78.644,4.064,92.2,0.748,46.27,1.821,70.804,1.426,85.544,0.326,88.0,0.0,28.296,0.748
EarlyStopping,12.082,0.41,76.7,20.369,5.437,0.184,7.51,1.359,82.195,1.664,92.6,0.49,40.255,1.956,68.212,3.889,85.779,0.15,88.4,0.49,30.134,1.42
ReduceLROnPlateau,13.227,1.845,68.12,26.428,5.952,0.83,8.544,2.827,81.702,3.085,92.2,0.98,42.897,3.386,69.41,4.4,85.81,0.163,88.4,0.49,29.726,1.372
None,12.204,2.919,73.78,25.38,5.492,1.314,8.531,3.989,81.771,2.542,92.2,0.98,50.974,2.524,72.834,0.708,85.549,0.38,88.0,0.0,27.844,1.33
