Strategy,Val Accuracy (Mean),Val Accuracy (Std),Val Loss (Mean),Val Loss (Std),Accuracy (Mean),Accuracy (Std),Loss (Mean),Loss (Std),Total Training Time (Mean),Total Training Time (Std),CPU Percent (Mean),CPU Percent (Std),CPU Percent Peak (Mean),CPU Percent Peak (Std),CPU Power (Mean),CPU Power (Std),CPU Power Peak (Mean),CPU Power Peak (Std),GPU Load (Mean),GPU Load (Std),GPU Load Peak (Mean),GPU Load Peak (Std),GPU Power (Mean),GPU Power (Std),GPU Power Peak (Mean),GPU Power Peak (Std),GPU Temp (Mean),GPU Temp (Std),GPU Temp Peak (Mean),GPU Temp Peak (Std),Env Temp (Mean),Env Temp (Std),Cost Efficiency Local (Mean),Cost Efficiency Local (Std),Cost Per Accuracy Point Local (Mean),Cost Per Accuracy Point Local (Std),Cost Efficiency USD (Mean),Cost Efficiency USD (Std),Cost Per Accuracy Point USD (Mean),Cost Per Accuracy Point USD (Std),Power Efficiency (Mean),Power Efficiency (Std),Time Efficiency (Mean),Time Efficiency (Std)
EarlyStopping & ReduceLROnPlateau,0.897,0.011,0.317,0.034,0.921,0.015,0.228,0.045,1.097,0.228,15.432,2.628,94.66,10.63,6.944,1.183,10.414,3.231,78.644,4.064,92.2,0.748,46.27,1.821,70.804,1.426,85.544,0.326,88.0,0.0,28.296,0.748,404.821,60.149,0.004,0.001,22490.06,3341.611,0.0,0.0,1.511,0.04,261.541,40.973
EarlyStopping,0.874,0.013,0.401,0.06,0.904,0.01,0.276,0.03,1.001,0.099,12.082,0.41,76.7,20.369,5.437,0.184,7.51,1.359,82.195,1.664,92.6,0.49,40.255,1.956,68.212,3.889,85.779,0.15,88.4,0.49,30.134,1.42,464.834,22.134,0.003,0.0,25824.107,1229.681,0.0,0.0,1.72,0.079,265.072,19.341
ReduceLROnPlateau,0.892,0.013,0.331,0.034,0.908,0.019,0.266,0.055,1.332,0.092,13.227,1.845,68.12,26.428,5.952,0.83,8.544,2.827,81.702,3.085,92.2,0.98,42.897,3.386,69.41,4.4,85.81,0.163,88.4,0.49,29.726,1.372,377.666,7.045,0.005,0.0,20981.441,391.408,0.0,0.0,1.687,0.11,229.359,14.601
None,0.892,0.009,0.355,0.021,0.929,0.001,0.205,0.003,1.226,0.037,12.204,2.919,73.78,25.38,5.492,1.314,8.531,3.989,81.771,2.542,92.2,0.98,50.974,2.524,72.834,0.708,85.549,0.38,88.0,0.0,27.844,1.33,344.129,14.559,0.005,0.0,19118.251,808.825,0.0,0.0,1.438,0.044,243.844,12.789
